CarPark,WeekDays_Rate_1,WeekDays_Rate_2,Saturday_Rate,Sunday_PublicHoliday_Rate,Address,Location
22 Martin Road,"$0.10 for first 5min, subsequently $2.00/hr from 7am to 6pm","$0.10 for first 5min, subsequently $3.00/hr from 6am to 2am the following day","$0.10 for first 5min, subsequently $3.00/hr from 7am to 2am the following day","$0.10 for first 5min, subsequently $3.00/hr from 7am to 2am the following day","22 Martin Road, S(239058)","1.2918615,103.8384274"
25 Lorong 8 Toa Payoh,$1.30/30min from 6am to 6am the following day,$1.30/30min from 6am to 6am the following day,Charges same as Weekdays,Charges same as Weekdays,"25 Lorong 8 Toa Payoh, S(319263)","1.338557,103.860755"
26 Tai Seng Street,$0.75/30min from 7am to 7pm,$0.75/30min from 7pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"26 Tai Seng Street, S(534057)  ","1.3355054,103.8892064"
268 Orchard Road,$3.00/30min from 8am to 8pm,$3.00/30min from 8pm to 8am the following day,$3.00/30min from 8am to 8am the following day,$3.00/30min from 8am to 8am the following day,"268 Orchard Road, S(238856)","1.302693,103.836805"
28 Maxwell Rd,"$2.60 for 1st hr, $0.55 for next subsequent 15min from 7am to 4.59pm",$3.60/entry from 5pm to 7am the following day,Charges same as weekdays,$3.60/entry from 7am to 7am the following day,"28 Maxwell Road, S(069120)","1.2782941,103.8456791"
2HR,$1.50/30min from 7am to 4.59pm,$3.00/entry from 5pm to 7am the following day,Charges same as weekdays,$3.00/entry from 7am to 7am the following day,"2 Havelock Road, S(059763)","1.2871749,103.8451817"
30 Bencoolen,"$3.00/hr, $1.50 for next subsequent 30min from 8am to 6pm","$3.00/hr, $1.50 for next subsequent 30min from 6pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,"30 Bencoolen Street, S(189621)","1.298535,103.8503611"
313@Somerset,"$2.57 for 1st hr, $1.28 for next subsequent 30min from 7am to 10.59am, $3.00 for 1st hr, $1.28 for next subsequent 30min from 11am to 10.59pm,","$2.57 for 1st hr, $1.28 for next subsequent 30min from 11pm to 6.59am the following day",Charges same as weekdays,Charges same as weekdays,"313 Orchard Road, S(238895)","1.3009665,103.8384727"
34 Boon Leat Terrace,"$2.20 for 1st hr, $1.10 for next subsequent 30min from 7am to 6pm",$2.50/entry from 6pm to 7am the following day,"$1.60 for 1st hr, $0.80 for next subsequent 30min from 7am to 1pm, $2.50/entry from 1pm to 7am the following day",$2.50/entry from 7am to 7am the following day,"34 Boon Leat Terrace, S(119866)","1.276338,103.7971787"
35-43 Kranji Way,$0.60/30min from 7am to 7pm,Free parking from 7pm to 7am the following day,Charges same as weekdays,Free parking from 7am to 7am the following day,"43 Kranji Way, S(739448)","1.43797,103.743422"
3B Toh Guan Road East,"$2.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 5pm","$2.20 for 1st hr, $0.60 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"3B Toh Guan Road East, S(608833)","1.3384304,103.749463"
50 Scotts Road,"$2.50 for 1st hr, $1.20 for next subsequent 30min from 7am to 10.59am and 2pm to 4.59pm; $3.00 for 1st hr, $1.50 for next subsequent 30min from 11am to 1.59pm",$3.50/entry from 5pm to 6.59am the following day,$3.50/entry from 7am to 6.59am the following day,$3.50/entry from 7am to 6.59am the following day,"50 Scotts Road, S(228242)","1.3109959,103.8371141"
51 Bencoolen Street,$1.00/30min from 7am to 6pm,$2.00/hr from 6.01pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,"51 Bencoolen Street, S(189630)","1.2994182,103.8501482"
51 Bras Basah,"$2.90 for 1st hr, $1.45 for next subsequent 30min from 7.01am to 5pm",$2.90/entry from 5.01pm to 7am the following day,Charges same as weekdays,$2.90/4hr block from 7.01am to 7am the following day,"51 Bras Basah Road, S(189554)","1.2979025,103.8501579"
51 Cuppage Road,"$2.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 5pm","$2.00 for 1st hr, $1.50 for next subsequent hr from 5pm to 7am the following day","$2.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 5pm, $2.00 for 1st hr, $1.50 for next subsequent hr from 5pm to 7am the following day","$2.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 5pm, $2.00 for 1st hr, $1.50 for next subsequent hr from 5pm to 7am the following day","51 Cuppage Road,S(29469)","1.3028594,103.8401706"
6 Raffles Quay,$2.50/30min from 7am to 8pm,$3.00/entry after from 8pm to 11pm,"$2.50/30min from 7am to 3pm, $3.00/entry after from 3pm to 7pm",carpark close,6 Raffles Quay S(048580),"1.2817911,103.8514035"
7 & 9 Tampines Grande (Hitachi Square),"$2.50 for 1st hr, $1.25 for next subsequent 30min from 7am to 6pm",$2.50/entry from 6pm to 7am the following day,Charges same as weekdays,"$2.50/entry from 7am to 6pm, $2.50/entry from 6pm to 7am the following day",7 & 9 Tampines Grande,"1.3549989132508045, 103.94175264208195"
71 Robinson Road,Private Car Park,Private Car Park,Private Car Park,Private Car Park,"71 Robinson Road, (S)068895 ","1.2783154,103.8487085"
79 Anson Road,$2.00/30min from 7am to 6pm,$4.00/entry from 6pm to 7am the following day,"$2.00/30min from 7am to 1pm, $4.00/entry from 1pm to 11pm",$4.00/entry from 7am to 7am the following day,"79 Anson Road, S(079906)","1.2742752,103.8456739"
8 Central Link,$1.50/hr from 8am to 5pm,$1.50/hr from 5pm to 8am the following day,$1.50/hr from 8am to 8am the following day,$1.50/hr from 8am to 8am the following day,"8 Jalan Kilang Barat, S(159351)","1.2852674,103.8079568"
888 Plaza,"$1.00/hr from 7am to 12pm, Free Parking from 12pm to 2pm, $1.00/hr from 2pm to 5pm","$1.00/entry from 5pm to 12midnight, $2.00/entry from 12midnight to 7am the following day",Charges same as weekdays,Charges same as weekdays,"888 Woodlands Drive 50, S(730888)","1.4377241,103.7952735"
991 Alexandra Road,$1.60/hr from 6am to 7pm,"$2.00/entry from 7pm to 3am the following day, $20.00/entry from 3am to 6am",Charges same as weekdays,"$2.00/entry from 6am to 3am the following day, $20.00/entry from 3am to 6am","991B Alexandra Road, S(119970)  
","1.2739218,103.8033779"
9@Tagore,$0.75/30min from 7am to 5.59pm,"$1.50/entry from 6pm to 9.59pm, $3.00/entry from 10pm to 6.59am the following day",Charges same as weekdays,$3.00/entry from 7am to 6.59am the following day,"9 Tagore Lane, S(787472)","1.3839947,103.826064"
Abacus Plaza,$2.00/hr form 8am to 5pm,"$2.50/entry from 5pm to 12midnight, $10.00/entry from 12midnight to 8am the following day",Charges same as weekdays,$2.50/entry from 8am to 8am the following day,"3 Tampines Central 1, S(529540)","1.352687,103.9429503"
Abdul Gaffoor Mosque,$1.30/hr from 7am to 5pm,"$1.60/entry from 5pm to 12midnight, $1.10/hr from 12midnight to 7am the following day",Charges same as weekdays,"$2.00/entry from 7am to 12midnight, $1.60/hr from 12midnight to 7am the following day","41 Dunlop Street, S(209369)","1.304393,103.8537072"
ABI Plaza,"$4.28 for 1st hr, $2.68 for next subsequent 30min from 8am to 6pm","$4,28/entry from 6pm to 8am the following day","Charges same as weekdays, $4.28/entry from 1pm to 8am the following day",$4.28/entry from 8am to 8am the following day,"11 Keppel Road, S(089057)","1.2731951,103.8428677"
ACTION Theatre,Carpark closed,Carpark closed,Carpark closed,Carpark closed,"42 Waterloo Street, S(187951)","1.2984662,103.8507241"
Adam Road Medical Centre,Free Parking,Free Parking,Free Parking,Free Parking,"19 Adam Road, S(289891)","1.3267503,103.8133486"
Admirax,$1.00/hr from 7am to 10pm,Carpark closed after 10pm daily,$1.00/hr from 7am to 3pm,Carpark closed,"8 Admiralty Street, S(757438) ","1.4625623,103.8160974"
Advantech Industrial Building,Carpark is closed,Carpark is closed,Carpark is closed,Carpark is closed,17 Sims Drive,"1.3186186,103.8810521"
Aero-Green Technology,Free parking from 9am to 5pm daily,Car Park closed after 5pm,Charges same as weekdays,Charges same as weekdays,"260 Neo Tiew Crescent, S(718899)","1.4447509,103.7293874"
AIA Tower,Season parking only,Season parking only,Season parking only,Season parking only,"1 Robinson Road, S(048542) ","1.2819389,103.8511317"
Albert Centre Market and Food Centre,"$1.20/30min from 7am to 10am, $1.40/30min from 10am to 5pm","$1.40/30min from 5pm to 10.30pm, $0.60/30min from 10.30pm to 7am the following day","$1.20/30min from 7am to 10am, $1.40/30min from 10am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day","$0.60/30min from 7am to 10am, $1.40/30min from 10am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day","270 Queen Street, S(180270)","1.3010567,103.8541162"
Albert Complex,$1.20/30min from 7am to 11pm daily,$1.20/30min from 7am to 11pm daily,Charges same as weekdays,Charges same as weekdays,"60 Albert Street, S(189969)","1.3024158,103.8539626"
Albert Court Hotel,"$2.50 for 1st hr, $1.00 for next subsequent 30min from 8am to 6pm",$3.50/entry from 6pm to 8am the following day,Charges same as weekdays,$3.50/entry from 8am to 8am the following day,"180 Albert Street, S(189971)","1.3041158,103.850792"
Alexandra Central,$2.14/hr from 8am to 6pm,$3.21/entry from 6pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,"321 Alexandra Road, S(159971)","1.2872753,103.8054027"
Alexandra Hospital,$1.80/hr from 7am to 10pm,$1.60/hr from 10pm to 7am the following day,Charges same as weekdays,$1.68/hr from 7am to 7am the following day,"378 Alexandra Road, S(159964)","1.2867597,103.8009269"
Alexandra Retail Centre,$2.00/hr from 7am to 6.30pm,"Free parking from 6.30pm to 11pm, $2.40/hr from 11pm to 7am the following day","Free parking from 7am to 11pm, $2.40/hr from 11pm to 7am the following day","Free parking from 7am to 11pm, $2.40/hr from 11pm to 7am the following day","460 Alexandra Road, S(119963)","1.2736761,103.8015216"
Alexis,$0.03/min from 7.01am to 7am the following day,$0.03/min from 7.01am to 7am the following day,Charges same as weekdays,Charges same as weekdays,"356 Alexandra Road, S(159949)","1.2912369,103.807429"
Aljunied-Hougang Town Council,"$0.60/30min from 7am to 10am, $0.80/30min from 10am to 5pm","$0.60/30min from 5pm to 10.30pm, $0.60/30min from 10.30pm to 7am the following day","$0.80/30min from 7am to 2pm, $0.60/30min from 2pm to 7am the following day","$0.80/30min from 7am to 2pm, $0.60/30min from 2pm to 7am the following day","147 Serangoon North Ave 1, S(550147)","1.3685077,103.87267"
Alliance Francaise de Singapour,"$2.50 for 1st 2hr, $1.25 for next subsequent 30min or part thereof from 8am to 11pm","$2.50 for 1st 2hr, $1.25 for next subsequent 30min or part thereof from 8am to 11pm",Charges same as weekdays,Charges same as weekdays (open if there's event only),"1 Sarkies Road, S(258130)","1.3141126,103.8370897"
Amara Hotel,$2.00/30min from 8am to 5pm,$3.00/entry from 5pm to 7.59am the following day,Charges same as weekdays,$3.00/entry from 8am to 7.59am the following day,"165 Tanjong Pagar Road, S(088539)","1.2750316,103.8435506"
AMK Autopoint,"$2.00/entry from 12midnight to 7am, $0.50 for next subsequent 30min from 7am to 10.30pm",$2.00/entry from 10.30pm to 12midnight,Charges same as weekdays,"$2.00/entry from 12midnight to 7am, free parking from 7am to 10.30pm, $2.00/entry from 10.30pm to 12midnight","10 Ang Mo Kio Industrial Park 2A, S(568047)","1.3770706,103.8690919"
AMK Hub,"$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 7am the following day","$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 7am the following day","$1.50 for 1st hr, $0.75 for next subsequent 30min from 7am to 7am the following day","$1.50 for 1st hr, $0.75 for next subsequent 30min from 7am to 7am the following day","53 Ang Mo Kio Avenue 3, S(569933)","1.3696302,103.8482042"
Amoy Street Off Street,$1.20/30min from 7am to 5pm,$0.60/30min from 5pm to 7am the following day,Charges same as weekdays,$0.60/30min from 7am to 7am the following day,"86 Amoy Street, S(069905)","1.280894,103.847046"
Amtech Building,"$1.00 for 1st hr, $2.00 for next subsequent 30min from 8am to 5pm",$2.00/entry from 5pm to 8am the following day,Charges same as weekdays,$2.00/entry from 8am to 8am the following day,"157 Sin Ming Road, S(575624)","1.355877956338341, 103.83719659040585"
Anchorpoint Shopping Centre,(Mon-Thu) $2.00/hr from 8am to 5.59pm,(Mon-Thu) $3.00/entry from 6pm to 11pm,"(Fri-Sat) $2.00/hr from 8am to 5.59pm, $3.00/entry from 6pm to 2am the following day","$2.00/hr from 8am to 5.59pm, $3.00/entry from 6pm to 2am the following day","370 Alexandra Road, S(159953)","1.2887553,103.8050985"
Ang Mo Kio Community Hospital,$0.86/30min from 7am to 10pm,$3.10/entry from 10pm to 7am the following day,Charges same as weekdays,$3.10/entry from 7am to 7am the following day,"17 Ang Mo Kio Avenue 9, S(569766)","1.3842017,103.8405561"
Ang Mo Kio Polyclinic (NHGP),"$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 5pm","$1.40 for 1st hr, $0.70 for next subsequent 30min from 5pm to 8pm, carpark closed till 7am the following day","$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 4pm, carpark closed till 7am of the next Monday",Carpark closed,"21 Ang Mo Kio Central 2, S(569666)","1.3743145,103.8457645"
Anglican Care Centre (Simei),"$1.28 for 1st hr, $0.75 for next subsequent 30min from 7am to 5pm","$1.28 for 1st hr, $0.75 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"10 Simei Street 3, S(529897)","1.34202,103.9491732"
Angullia Park,"$1.30/30min from 7am to 11am, $1.50/30min from 11am to 5pm","$0.80/30min from 5pm to 10.30pm, $0.70/30min from 10.30pm to 7am the following day capped at $5.60",Charges same as weekdays,"$0.70/30min from 7am to 11am, $0.80/30min from 11am to 10.30pm, $0.70/30min from 10.30pm to 7am the following day capped at $5.60","Angullia Park, S(239974)","1.3038802,103.829686"
Aperia Mall,"$1.60/hr for 1st 2hr, $1.07 for next subsequent 30min from 6am to 5.59pm","Free parking from 6.30pm to 9.59pm, $2.50/entry thereafter to 5.59am the following day","Free parking for 1st 3hr, $2.50/entry thereafter to 5.59am the following day","Free parking for 1st 3hr, $2.50/entry thereafter to 5.59am the following day","8/10/12 Kallang Avenue, S(339509)","1.3110557,103.8647218"
Apex @ Henderson,$1.50/hr from 7am to 6pm,$2.50/entry from 6pm to 7am the following day,Charges same as weekdays,$2.50/entry from 7am to 7am the following day,"201 Henderson Road, S(159545)","1.2827111,103.8204487"
APS Industrial Building,$1.65/hr from 8am to 4.59pm,$1.80/entry from 5pm to 7.59am,Charges same as weekdays,Charges same as weekdays,"49 Jalan Pemimpin, S(577203)","1.3510861,103.8418277"
ARC 380,"$1.50 for 1st hr, $1.30 for next subsequent hr from 7am to 7pm",$3.20/entry from 7pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"380 Jalan Besar, S(209000)","1.3133701,103.8603496"
ARC @ mTower,"$2.20/hr from 7am to 12pm and 2pm to 6.30pm, Free parking from 12pm to 2pm","Free parking from 6.30pm to 11pm, $2.40/hr from 11pm to 7am the following day","Free parking from 7am to 11pm, $2.40/hr from 11pm to 7am the following day","Free parking from 7am to 11pm, $2.40/hr from 11pm to 7am the following day","460 Alexandra Road, S(119963)","1.2736761,103.8015216"
Arena Country Club,"$0.60/30min from 6am to 8.59am, $1.20/hr from 9am to 8.59pm",$3.00/entry from 9pm to 5.59am the following day,Charges same as weekdays,Charges same as weekdays,"511 Upper Jurong Road, S(638366)","1.329511,103.6822241"
Ark @ Gambas,$0.96/30min from 7am to 10.30pm,$3.21/entry from 10.30pm to 7am the following day,Charges same as weekdays,"$2.14/entry from 7am to 10.30pm, $3.21/entry from 10.31pm to 7am the following day","7 Gambas Crescent, S(757087)","1.4451027,103.8128413"
Ark @ KB,$0.60/30min from 7.01am to 10.30pm,$4.00/entry from 10.31pm to 7am the following day,Charges same as weekdays,$4.00/entry from 7am to 7am the following day,"68 Kaki Bukit Avenue 6, S(417896)","1.3409233,103.9142178"
Armenian Church of Saint Gregory,Private Car Park,Private Car Park,Private Car Park,Private Car Park,"60 Hill Street, S(179366)","1.2931355,103.84932"
Asia Square Tower 1,$1.07/10min from 7am to 5.59pm,$5.35/entry from 6pm to 6.59am the following day,$5.35/entry from 7am to 6.59am the following day,$5.35/entry from 7am to 6.59am the following day,"8 Marina View, S(018960) ","1.2792279,103.8513981"
Asia Square Tower 2,$1.07/10min from 7am to 5.59pm,$5.35/entry from 6pm to 6.59am the following day,$5.35/entry from 7am to 6.59am the following day,$5.35/entry from 7am to 6.59am the following day,"12 Marina View, S(018961) ","1.2783062,103.8509636"
Asian Civilisations Museum,$1.24/30min from 8am to 5.59pm,$2.06/entry from 6pm to 7.59am the following day,Charges same as weekdays,$2.06/entry from 8am to 7.59am the following day,"1 Empress Place, S(179555)","1.287452,103.8513311"
Automobile Megamart (AML),$1.50/hr from 8am to 6pm,$2.00/entry from 6pm to 12midnight the following day,Charges same as weekdays,Charges same as weekdays,"61 Ubi Avenue 2, S(408898)","1.331849,103.9014397"
AXA Tower,$2.30/30min from 7am to 6pm,$2.80/entry from 6pm to 7am the following day,"$2.30/30min from 7am to 1pm, $2.80/entry from 1pm to 7am the following day",$2.80/entry from 7am to 7am the following day,"8 Shenton Way, S(068811)","1.2761294,103.8474403"
Ayer Rajah Industrial Estate,$1.00/30min from 7am to 6pm,$1.00/entry from 6pm to 7am the following day,$1.00/entry from 7am to 7am the following day,$1.00/entry from 7am to 7am the following day,Ayer Rajah Crescent,"1.2960551,103.7893986"
Balestier Plaza,$1.20/hr,$1.20/hr,Charges same as weekdays,Charges same as weekdays,"400 Balestier Road, S(329802)","1.3257002,103.8503399"
Balestier Point,"$1.40 for 1st hr, $0.70 for next subsequent 30min from 8am to 10pm",$2.50/entry from 10pm to 8am the following day,Charges same as weekdays,$2.50/entry from 8am to 8am the following day,"279 Balestier Road, S(329727) ","1.3227672,103.851969"
Balestier Towers,$1.50/hr from 8am to 4.59pm,$2.75/entry from 5pm to 7.59am the following day,Charges same as weekdays,Carpark closed on Sundays,"207 Balestier Road, S(329683) ","1.3210106,103.8525798"
Balestier Warehouse,"$1.50 for 1st hr, $1.50 for next subsequent 30min from 8am to 5pm","$1.50 for 1st hr, $1.50 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,"12A Jalan Ampas, S(329516)","1.3264993,103.8519853"
Balmoral Plaza,$2.00/hr from 8am to 5pm,"$2.50/entry from 5pm to 12midnight, $2.00/hr from 12midnight to 8am the following day",Charges same as weekdays,$2.00/entry from 8am to 8am the following day,271 Bukit Timah Road S(259708),"1.31675,103.8352572"
Bangkok Bank Building,"$2.30 for the 1st 30min, $4.00 for the next subsequent hr from 7am to 7pm","$2.30 for the 1st 30min, $4.00 for the next subsequent hr from 7am to 7pm","$2.30 for the 1st 30min, $4.00 for the next subsequent hr from 7am to 3pm",Closed,"180 Cecil Street, S(069546)","1.2792514,103.8477784"
Bay Hotel Singapore,"$1.50/30min from 7am to 12pm, $0.70/30min from 12pm to 3pm, $1.50/30min from 3pm to 6pm","$5/entry from 6pm to 3am the following day, $1.50/30min from 3am to 7am",Charges same as weekdays,Charges same as weekdays,"50 Telok Blangah Road, S(098828)","1.2662079,103.8239356"
Beach Centre,"$1.50 for 1st 30min, $1.20 for next subsequent 30min from 7am to 6pm",$3.50/entry from 6pm to 7am the following day,Charges same as weekdays,$3.50/entry from 7am to 7am the following day,"15 Beach Road, S(189677)","1.2958614,103.8555479"
Beauty World Plaza,"$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 5pm",$2.40/entry from 5pm to 7am the following day,Charges same as weekdays,$2.40/entry from 7am to 7am the following day,"140 Upper Bukit Timah Road, S(588176)","1.3417922,103.7762593"
Bedok Central Blk 215A (Multi-Storey Car Park),$0.60/30min from 7am to 10.30pm,$0.60/30min up to a maximum charge of $5.00/day from 10.30pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"215A Bedok Central, S(461215)","1.326246,103.9342483"
Bedok Mall,"$1.50 for 1st hr, $0.40 for next subsequent 15min from 12midnight to 11.59pm","$1.50 for 1st hr, $0.40 for next subsequent 15min from 12midnight to 11.59pm",Charges same as weekdays,Charges same as weekdays,"311 New Upper Changi Road, S(467360)","1.324592,103.9292631"
Bedok Point,"$1.20 for 1st hr, $0.70 for next subsequent 30min from 7am to 7am the following day","$1.20 for 1st hr, $0.70 for next subsequent 30min from 7am to 7am the following day","$1.20 for 1st hr, $0.70 for next subsequent 30min from 7am to 7am the following day","$1.20 for 1st hr, $0.70 for next subsequent 30min from 7am to 7am the following day","799 New Upper Changi Road,
S(467351) ","1.3249396,103.9324355"
Bedok Reservoir Park,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"Blk 739A, Bedok Reservoir Road, S(471739)","1.3381624,103.9233716"
Bedok Reservoir Park B,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,Tampines Avenue 10,"1.3620599,103.9308382"
Bedok Shopping Complex,$1.20/hr from 7am to 2pm,$1.50/hr from 2pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"348 Bedok Road, S(469535)","1.3315298,103.9480632"
Bedok Stadium / Sports Hall / ClubFITT Gym,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"1 Bedok North Street 2, S(469642)","1.3261,103.938864"
Bendemeer Market and Food Centre,$0.80/30min from 7am to 2pm,$0.60/30min from 2pm to 7am the following day,"$0.80/30min from 7am to 2pm, $0.60/30min from 2pm to 7am the following day","Free parking from 7am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day","29 Bendemeer Road, S(330029)","1.3193373,103.8630249"
Berjaya Hotel,$1.00/30min from 8.30am to 5pm,"$1.00/hr from 5pm to 10pm, Free parking from 10pm to 8.30am the following day",Charges same as weekdays,"$1.00/hr from 8.30am to 10pm, Free parking from 10pm to 8.30am the following day","83 Duxton Road, S(089540)","1.2786983,103.84319"
Bestway Building,$2.00/hr from 7am to 6pm,$3.00/entry from 6pm to 7am the following day,$3.00/entry from 7am to 7am the following day,$3.00/entry from 7am to 7am the following day,"12 Prince Edward Road, S (079212) ","1.2736035,103.8482103"
Big Box,"$1.60 for 1st hr, $0.50 for next subsequent 15min from 6am to 12midnight",$2.50/hr from 12midnight to 6am the following day,Charges same as weekdays,Charges same as weekdays,"1 Venture Avenue, S(608521)","1.3320876,103.7444845"
Big Splash,Free parking from 12midnight to 5pm,$1.50/hr from 5pm to 12midnight the following day,$1.50/hr from 5am to 5am the following day,$1.50/hr from 5am to 5am the following day,"902 East Coast Parkway, S(449874)","1.2972567,103.9002616"
Biopolis,$1.20/hr from 7am to 5pm,Free parking from 5.01pm to 06.59am the following day,Same charges as weekday,Same charges as weekday,"20 Biopolis Way, S(138668)","1.3038246,103.7921306"
Biopolis 3,$1.65/hr from 7am to 7pm,$3.30/entry from 7pm to 7am the following day,"$1.65/hr from 7am to 2pm, $3.30/entry from 2pm to 7am the following day",$3.30/entry from 7am to 7am the following day,"3 Biopolis Drive, S(138623)","1.3016654,103.793349"
Bishan Sports Centre,$0.60/30min from 7am to 5pm,$0.60/30min from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"7 Bishan Street 14, S(579784)","1.3544408,103.8515594"
"Blk 334/333 Kreta Ayer, Blk 4 Sago Lane",$1.00/30min from 7am to 5pm,"$0.50/30min from 5pm to 10.30pm, $0.50/30min from 10.30pm to 7am the following day","$0.50/30min from 7am to 10.30pm, $0.50/30min from 10.30pm to 7am the following day","$0.50/30min from 7am to 10.30pm, $0.50/30min from 10.30pm to 7am the following day","334 Kreta Ayer Road, S(050004)","1.2815328,103.8422758"
